WORKSHEET,CATEGORY,SUBCATEGORY,DATA_TYPE,96_FIELD_NAME,10_FIELD_NAME,FIELD DESCRIPTION ,WKSHT CD,LINE,COLUMN
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1426,S2_1_C2_1616,FQHC 17 Provider Number,S200001,01616,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1427,S2_1_C2_1617,FQHC 18 Provider Number,S200001,01617,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1428,S2_1_C2_1618,FQHC 19 Provider Number,S200001,01618,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1429,S2_1_C2_1619,FQHC 20 Provider Number,S200001,01619,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1430,S2_1_C2_1620,FQHC 21 Provider Number,S200001,01620,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1431,S2_1_C2_1621,FQHC 22 Provider Number,S200001,01621,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1432,S2_1_C2_1622,FQHC 23 Provider Number,S200001,01622,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1433,S2_1_C2_1623,FQHC 24 Provider Number,S200001,01623,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1434,S2_1_C2_1624,FQHC 25 Provider Number,S200001,01624,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1510,S2_1_C2_17,CMHC 1 Provider Number,S200001,01700,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1511,S2_1_C2_1701,CMHC 2 Provider Number,S200001,01701,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1512,S2_1_C2_1702,CMHC 3 Provider Number,S200001,01702,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1513,S2_1_C2_1703,CMHC 4 Provider Number,S200001,01703,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1514,S2_1_C2_1704,CMHC 5 Provider Number,S200001,01704,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1515,S2_1_C2_1705,CMHC 6 Provider Number,S200001,01705,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1516,S2_1_C2_1706,CMHC 7 Provider Number,S200001,01706,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1517,S2_1_C2_1707,CMHC 8 Provider Number,S200001,01707,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1518,S2_1_C2_1708,CMHC 9 Provider Number,S200001,01708,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1519,S2_1_C2_1709,CMHC 10 Provider Number,S200001,01709,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_16,S2_1_C2_18,Renal 1 Provider Number,S200001,01800,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1601,S2_1_C2_1801,Renal 2 Provider Number,S200001,01801,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1602,S2_1_C2_1802,Renal 3 Provider Number,S200001,01802,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1603,S2_1_C2_1803,Renal 4 Provider Number,S200001,01803,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1604,S2_1_C2_1804,Renal 5 Provider Number,S200001,01804,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1605,S2_1_C2_1805,Renal 6 Provider Number,S200001,01805,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1606,S2_1_C2_1806,Renal 7 Provider Number,S200001,01806,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1607,S2_1_C2_1807,Renal 8 Provider Number,S200001,01807,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1608,S2_1_C2_1808,Renal 9 Provider Number,S200001,01808,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_1609,S2_1_C2_1809,Renal 10 Provider Number,S200001,01809,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C5_2,S2_1_C7_3,Hospital Title 18 Payment System (P/T/O),S200001,00300,00700
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C5_3,S2_1_C7_6,Sub 1 Title 18 Payment System (P/T/O),S200001,00600,00700
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C5_301,S2_1_C7_601,Sub 2 Title 18 Payment System (P/T/O),S200001,00601,00700
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C1_18,S2_1_C1_21,Type of Control of Hospital (See Table I),S200001,02100,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,S2_C1_19,NOT ON FORM,Type of Hospital  (See Table II),NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,S2_C1_20,NOT ON FORM,Type of Subprovider 1  (See Table II),NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,S2_C1_2001,NOT ON FORM,Type of Subprovider 2  (See Table II),NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C1_21,NOT ON FORM,(See Below),NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_21,NOT ON FORM,(Y/N),NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C1_2101,S2_1_C1_22,"Does the facility qualify and is it receiving payments for 
disproportionate share? (Y/N)",S200001,02200,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C1_2102,NOT ON FORM,to urban or vise versa? (Y/N),NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_2102,NOT ON FORM,"Effective Date if 21.02, Col 1 is Yes",NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,S2_C1_2103,NOT ON FORM,(See Below),NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_2103,NOT ON FORM,to a Rural location? (Y/N),NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C3_2103,NOT ON FORM,"Effective Date if 21.03, Col 2 is Yes",NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C4_2103,NOT ON FORM,beds (Y/N),NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,not on old form,S2_1_C1_24,In State Medicaid paid days,S200001,02400,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,not on old form,S2_1_C2_24,In State Medicaid eligible days,S200001,02400,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,not on old form,S2_1_C3_24,Out of State Medicaid paid days,S200001,02400,00300
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,not on old form,S2_1_C4_24,Out of State Medicaid eligible days,S200001,02400,00400
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,not on old form,S2_1_C5_24,Medicaid HMO Days,S200001,02400,00500
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,not on old form,S2_1_C6_24,Other Medicaid Days,S200001,02400,00600
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C5_2103,S2_1_C3_3,Provider's actual MSA or CBSA,S200001,00300,00300
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,S2_C1_2104,NOT ON FORM,the period Urban (1) or Rural (2),NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,,S2_1_C1_26,Urban/Rural Indicator at beginning,S200001,02600,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,S2_C1_2105,S2_1_C1_27,Urban (1) or Rural (2),S200001,02700,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C1_2106,NOT ON FORM,"Does the hospital qualify for the 3 yr transition of hold harmless payments for small rural  hospitals under the PPS for hospital outpatient department services under DRA, section 5105 or the extension of this provision under MIPPA, section 147 effective for services rendered from 1/1/09 thru 12/31/09? (Y/N)",NOT ON FORM,,
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C1_22,S2_1_C1_116,Is this hospital classified as a referral center? (Y/N),S200001,11600,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,,S2_1_C1_116,,S200001,11500,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,,S2_1_C1_11801,Premiums,S200001,11801,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,,S2_1_C2_11801,Paid Losses,S200001,11801,00200
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,NUMERIC,,S2_1_C3_11801,Self Insurance,S200001,11801,00300
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C1_23,S2_1_C1_125,"Does this facility operate 
transplant center? (Y/N)",S200001,12500,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_2301,S2_1_C1_126,"Medicare certified kidney 
transplant center cert date ",S200001,12600,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_2302,S2_1_C1_127,"Medicare certified heart
transplant center cert date  ",S200001,12700,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_2303,S2_1_C1_128,"Medical certified liver 
transplant center cert date  ",S200001,12800,00100
IDENTIFICATION INFORMATION WORKSHEET S-2 PART I,,,ALPHANUMERIC,S2_C2_2304,S2_1_C1_129,"Medical certified lung
transplant center cert date  ",S200001,12900,00100
